# Dirsearch started Mon Aug  8 14:45:32 2022 as: /Users/jiangmengwei/files/tools/b-路径扫描/newDirsearch/dirsearch/dirsearch.py -u https://www.baidu.com

200    11KB  https://www.baidu.com:443/default.html
200    15KB  https://www.baidu.com:443/error.html
302   208B   https://www.baidu.com:443/f    -> REDIRECTS TO: http://flash.baidu.com/f
200    17KB  https://www.baidu.com:443/favicon.ico
302   231B   https://www.baidu.com:443/help/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
301   234B   https://www.baidu.com:443/help    -> REDIRECTS TO: http://www.baidu.com/help/
302     0B   https://www.baidu.com:443/home.jsp    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.js    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.tar.gz    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.tar.bz2    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.aspx    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.tar    -> REDIRECTS TO: https://www.baidu.com/search/error.html
302     0B   https://www.baidu.com:443/home.rar    -> REDIRECTS TO: https://www.baidu.com/search/error.html
200     1KB  https://www.baidu.com:443/home.html
302     0B   https://www.baidu.com:443/home.zip    -> REDIRECTS TO: https://www.baidu.com/search/error.html
301   238B   https://www.baidu.com:443/homepage    -> REDIRECTS TO: http://www.baidu.com/homepage/
302   208B   https://www.baidu.com:443/i    -> REDIRECTS TO: http://image.baidu.com/i
200   149KB  https://www.baidu.com:443/home
301   236B   https://www.baidu.com:443/images    -> REDIRECTS TO: http://www.baidu.com/images/
302   231B   https://www.baidu.com:443/images/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
301   233B   https://www.baidu.com:443/img    -> REDIRECTS TO: http://www.baidu.com/img/
